prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,32,1,4096,189.227
16,32,1,8192,370.176
16,32,1,16384,730.518
16,32,2,16,16.128
16,32,2,32,16.064
16,32,2,64,16.512
16,32,2,128,19.584
16,32,2,256,24.812
16,32,2,512,35.0506
16,32,2,1024,56.8334
16,32,2,2048,100.907
16,32,2,4096,189.589
16,32,2,8192,370.412
16,32,2,16384,727.872
16,32,4,16,16.0853
16,32,4,32,16.1913
16,32,4,64,16.4473
16,32,4,128,20.0966
16,32,4,256,25.4506
16,32,4,512,35.84
16,32,4,1024,58.434
16,32,4,2048,103.851
16,32,4,4096,194.496
16,32,4,8192,376.364
16,32,4,16384,737.176
16,32,8,16,24.7046
16,32,8,32,25.1946
16,32,8,64,25.5774
16,32,8,128,33.3654
16,32,8,256,43.8826
16,32,8,512,65.7066
16,32,8,1024,110.613
16,32,8,2048,199.381
16,32,8,4096,379.564
16,32,8,8192,746.284
16,32,8,16384,1473.33
16,32,16,16,33.5794
16,32,16,32,33.706
16,32,16,64,34.56
16,32,16,128,47.6794
16,32,16,256,64.4274
16,32,16,512,97.5374
16,32,16,1024,165.568
16,32,16,2048,296.428
16,32,16,4096,561.9
16,32,16,8192,1124.87
16,32,16,16384,2205.58
16,32,32,16,58.0486
16,32,32,32,58.1334
16,32,32,64,59.84
16,32,32,128,88.4486
16,32,32,256,122.581
16,32,32,512,190.72
16,32,32,1024,331.606
16,32,32,2048,589.59
16,32,32,4096,1153.35
16,32,32,8192,2358.28
16,32,32,16384,4633.24
16,32,64,16,105.216
16,32,64,32,105.749
16,32,64,64,108.458
16,32,64,128,165.079
16,32,64,256,233.602
16,32,64,512,363.286
16,32,64,1024,619.372
16,32,64,2048,1109.66
16,32,64,4096,2869.64
16,32,64,8192,5818.84
16,32,64,16384,11730.3
16,32,128,16,192.236
16,32,128,32,194.754
16,32,128,64,202.838
16,32,128,128,327.916
16,32,128,256,482.072
16,32,128,512,777.966
16,32,128,1024,1343.62
16,32,128,2048,3073.06
16,32,128,4096,8600.46
16,32,128,8192,17273.7
16,32,128,16384,42601.8
